 Reference Number,  Created Date,"Consumer Address, City","Consumer Address, State Code",Company Name,"Company Phone, Area Code","Company Phone, Number","Company Phone, Extension",Complaint Info Initial Contact Method,Complaint Info Product Service Code
29714278,03/17/2011,Auburn,CA,IRS,916,9745193,,Phone Call: Landline,9043
29716885,03/17/2011,Colorado Springs|Colorado Springs,CO|CO,Internal Revenue Service Foundation,973,7078449,,Phone Call: Landline,9043
29728947,03/18/2011,Jacksonville,FL,IRS,904,6651899,,Phone Call: Mobile/Cell,9043
29750294,03/21/2011,Boynton Beach,FL,IRS,800,8297650,,Phone,9043
29774180,03/23/2011,Rockport,TX,IRS,876,5954518,,Phone,2142|9043
29774216,03/23/2011,Tavares,FL,IRS,,,,Phone,9043
29806993,03/25/2011,Lancaster,PA,IRS,316,8731594,,Phone Call: Landline,9043
29838406,03/28/2011,Eaton Rapids,MI,IRS,,,,Phone,9043
29852129,03/29/2011,Antoich,IL,IRS,786,3907296,,Phone,9043
29866844,03/30/2011,South Pasadena,FL,IRS,,,,Internet/E-mail,9043
29882007,03/31/2011,Phoenix,AZ,IRS,602,2831862,,Phone Call: Landline,9043
29889054,03/31/2011,Memphis,TN,IRS,876,2820540,,Phone Call: Landline,2142|9043
29920509,04/04/2011,Wadsworth,IL,IRS,,,,Phone Call: Landline,9043
29948397,03/28/2011,SAN ANTONIO,TX,FBI and IRS,,,,,9043
29965156,04/05/2011,Spokane,WA,IRS,647,3796193,,Phone Call: Landline,2142|9043
30005198,04/07/2011,Downers Grove,IL,IRS,876,5608610,,Phone,2142|9043
30010565,04/08/2011,Manchester,IA,IRS,,,,Internet Web Site,9043|9044
30010892,04/08/2011,Pelham,NH,IRS,,,,Internet/E-mail,9044|9043
30013217,04/08/2011,Naples,FL,IRS,876,2656596,,Phone,9043|2142
30014904,04/08/2011,Greenfield,IA,service@irs.gov,,,,Mobile: Text/Email/IM,9043
30016748,04/08/2011,Big Timber|Big Timber,MT|MT,IRS,,,,Internet/E-mail,9043
30044913,04/12/2011,San Jose,CA,IRS,800,8293903,,Phone Call: Mobile/Cell,9043
30047211,04/12/2011,Davie|Davie,FL|FL,IRS|Make a Wish Foundation,202|602,5584569|3888748,|,Phone,9043|2142
30074204,04/14/2011,Dunlap,TN,IRS,876,4480723,,Phone Call: Mobile/Cell,2142|9043
30135834,04/20/2011,Washington,UT,peratus Credit Services LLC- IRS,800,8293903,,Mail,9043
30138224,04/20/2011,Oshkosh,WI,IRS,202,6575036,,Phone Call: Mobile/Cell,9043|0323
30160720,04/02/2011,CHERRY HILL,NJ,Interpol and IRS,,447045798057,,Internet/E-mail,9043
30188596,04/25/2011,Quakertown,PA,IRS,702,3309538,,Phone Call: Landline,9043
30215464,04/26/2011,Kew Gardens,NY,IRS,876,8462356,,Phone,2142|9043
30244658,04/28/2011,Enterprise,AL,IRS|I Have A Dream Foundation|American Security,617|206|757,2755972|9659893|2634512,||,Phone,9043|2142
30262599,04/29/2011,Reading,CA,IRS,775,4102438,,Phone Call: Mobile/Cell,2142|9043
30301404,05/03/2011,Cordova,TN,IRS|Online Repair Work|Microsoft 35 Ingenius,|847|,|5319241|,||,Phone,0332|9043
30310983,05/04/2011,Ormond Beach,FL,IRS,202,2418841,,Phone,2142|9043
30338630,05/05/2011,Belleville,NJ,IRS Tax Relief,949,8910689,,Phone Call: Mobile/Cell,9043
30412391,05/11/2011,Annapolis,MD,IRS,876,4330406,,Phone Call: Landline,2142|9043
30453612,05/13/2011,Austin,TX,IRS,800,7892346,,Phone,9043
30538604,05/18/2011,Arnolds Park,IA,IRS,,,,Phone Call: Landline,9043
30539430,05/18/2011,Chattanooga,TN,IRS,202,3888748,,Phone,2142|9043
30737574,05/23/2011,Toms River,NJ,IRS Business Law|International Award,800|,8291040|,|,Phone,2142|9043
30865442,05/18/2011,PRAGUE,,Majed El Zein IRS U.S.A 1499178 FDIC,,7328071940,,Internet/E-mail,9043
30883688,06/02/2011,,OH,IRS|I Have A Dream Foundation|Fidelity Insurance,|602|405,|3888748|6944676,||,Phone Call: Landline,9043|2142
30885686,06/02/2011,Bedford,VA,IRS,202,2419524,,Phone,2142|9043
30971995,06/08/2011,Deposit,NY,IRS,876,5096210,,Phone Call: Landline,2142|9043
31028483,06/10/2011,Amarillo,TX,IRS|FTC,800|,9089946|,|,Phone Call: Landline,9043|2142
31045031,06/13/2011,Ocala,FL,IRS,800,8290922,,I Initiated Contact,9001|9043
31103823,06/16/2011,Maitlen,FL,IRS,202,4079116,,Phone Call: Landline,9043|0323
31114264,06/02/2011,EASTVALE,CA,IRS,,,,Internet/E-mail,9043
31119371,06/08/2011,OVERLAND PARK,KS,IRS,,5184442681,,Internet/E-mail,9043
31123316,06/13/2011,SKOKIE,IL,IRS FEIN web site,,,,Internet/E-mail,9043
31125816,06/15/2011,HEWITT,NJ,INTERNAL REVENUE SERVICE,,2063173055,,Internet/E-mail,9043
31128602,06/17/2011,Virginia Beach,VA,IRS,,,,Internet/E-mail,9044|9043
31150049,06/18/2011,West Bend,WI,IRS system,,,,Internet/E-mail,9043
31155769,06/20/2011,Media,PA,IRS,,,,Internet/E-mail,9044|9043
31156344,06/20/2011,Plano,TX,IRS,,,,Internet/E-mail,9043|9044
31158268,06/20/2011,Pasadena,CA,IRS,,,,Internet/E-mail,9044|9043
31160383,06/20/2011,Moreno Valley,CA,IRS,,,,Internet/E-mail,9043|9044
31165145,06/20/2011,Indianapolis,IN,   Department of Treasury Internal Revenue Source,,,,Internet/E-mail,9043
31172242,06/21/2011,Austin,TX,IRS,,,,Internet Web Site,9043
31172791,06/21/2011,Washington|Washington,DC|DC,IRS,,,,Internet/E-mail,0334|9043
31173242,06/21/2011,,CT,internal revenue service|Board of Governors of the Federal Reserve,|,|,|,Internet/E-mail,9043
31182190,06/21/2011,Fresno,CA,IRS,,,,Internet/E-mail,9043|9044
31190338,06/22/2011,Sandwich,MA,IRS,,,,Internet/E-mail,9044|9043
31193972,06/22/2011,Stratford,OK,IRS,866,8920112,,Phone Call: Mobile/Cell,9043|2142
31194417,06/22/2011,Denver,NC,IRS,,,,Internet/E-mail,9043
31195563,06/22/2011,Lexington,VA,IRS,,,,Internet/E-mail,9043
31214535,06/23/2011,Greenwich,CT,IRS,,,,Internet/E-mail,9043|9044
31220351,06/23/2011,Circle Pines,MN,IRS,,,,Internet/E-mail,9043
31232395,06/24/2011,Ormond Beach,FL,IRS,,,,Internet/E-mail,9043|9000
31235779,06/24/2011,Kittanning,PA,IRS,,,,Internet (Other),9043
31258930,06/27/2011,Bangor,ME,IRS,800,8297650,,Phone Call: Landline,9043
31259319,06/27/2011,Montebello,CA,IRS,323,2846093,,Phone Call: Landline,9043
31259768,06/27/2011,Mount Juliet,TN,IRS,,,,Internet (Other),9043
31262514,06/27/2011,Bridgeton,MO,IRS,,,,Internet/E-mail,9043
31271430,06/27/2011,Deposit,NY,IRS,876,5096210,,Phone Call: Landline,2142|9043
31271432,06/27/2011,Deposit,NY,IRS,876,5096210,,Phone Call: Landline,2142|9043
31280109,06/28/2011,Nashville,TN,IRS,,,,Internet/E-mail,9043
31284402,06/28/2011,Crisfield,MD,Internal Revenue Service,,,,Phone Call: Landline,3003|9043
31287273,06/28/2011,Grand Terrace,CA,IRS,,,,Internet (Other),9043
31287308,06/28/2011,Margate City,NJ,IRS,589,2238911,,Phone Call: Mobile/Cell,9001|9043
31288838,06/28/2011,Charleston,SC,Internal Revenue Service,,,,Internet/E-mail,0334|9043
31323352,06/30/2011,Hollywood,FL,IRS,,,,Internet/E-mail,9043|9000
31323607,06/30/2011,Tayorsville,UT,IRS,876,5201453,,Phone Call: Mobile/Cell,2142|9043
31324201,06/30/2011,Omaha,NE,Dept of Treasury Internal Revenue,,,,Internet/E-mail,9044|9043
31328968,06/30/2011,Forty-Four|Forty-Four,PA|PA,IRS,800,5503380,,Phone,9043|2142
31337711,07/01/2011,Sayre,PA,IRS Imposter,215,8611225,,Phone,9043
31338430,07/01/2011,Mims,FL,IRS,,,,Internet/E-mail,0334|9043
31341938,07/01/2011,Lake Forest Park,WA,IRS,,,,Internet/E-mail,9043|9044
31343186,07/01/2011,Santa Fe Springs,CA,IRS,,,,Internet/E-mail,9043|9044
31352574,06/20/2011,FREDERICKSBURG,VA,INTERNAL REVENUE SERVICE,206,3173055,,Internet/E-mail,9043
31352874,06/19/2011,FREELAND,WA,Internal Revenue Service,,,,Internet/E-mail,9043
31354150,06/21/2011,PORIRUA,,FBI-IRS,206,3173055,,Internet/E-mail,9043
31354394,06/21/2011,PONCE,,Internal Revenue Service United States Department,,,,Mail,9043
31354478,06/21/2011,SHAWNEE MISSION,KS,FBI IRS,206,3173055,,Internet/E-mail,9043
31354550,06/21/2011,SAN ANTONIO,TX,IRS Seattle,206,3173055,,Internet/E-mail,9043
31355060,06/22/2011,RALEIGH,NC,Internal Revenue Service,206,3173055,,Internet/E-mail,9043
31355210,06/22/2011,PORTLAND,OR,irs,,,,Internet/E-mail,9043
31355461,06/22/2011,CALLAHAN,FL,IRS,,2063173055,,Internet/E-mail,9043
31355734,06/23/2011,BEGGS,OK,FBI ALERT IRS,,,,Internet/E-mail,9043
31355942,06/23/2011,WELLESLEY,MA,Internal Revenue Service,,,,Internet (Other),9043
31357093,06/24/2011,HOUSTON,TX,Internal Revenue Service,,,,Internet/E-mail,9043
31359175,06/26/2011,PENN HILLS,PA,Seattle Washington irs.dept at fbemail.com,,,,Internet/E-mail,9043
31359463,06/26/2011,BREMERTON,WA,IRS.GOV SCAM VIRUS,,,,Internet/E-mail,9043
31359688,06/27/2011,MERRICK,NY,IRS,,,,Internet/E-mail,9043
31360092,06/27/2011,CHICAGO,IL,FBI - IRS,,,,,9043
31360869,06/28/2011,RIVERSIDE,CT,referred as FBI and IRS,303,7194203,,Internet/E-mail,9043
31360911,06/28/2011,FORT WORTH,TX,PRINCIPAL STAFF OFFICER INTERNAL REVENUE SERVICE,,,,Internet/E-mail,9043
31361082,06/28/2011,CROSSVILLE,TN,FBI Alert-IRS,,,,Internet/E-mail,9043
31361485,06/29/2011,LAS VEGAS,NV,Internal Revenue Service and FBI,,,,Internet/E-mail,9043
31362005,06/29/2011,SYRACUSE,NY,IRS,,,,Internet/E-mail,9043
31362500,06/30/2011,MERIDIAN,MS,Pretended to be IRS,,,,Internet/E-mail,9043
31376010,07/05/2011,Livingston,TX,IRS,,,,Internet/E-mail,3912|9043
31377214,07/05/2011,Amarillo,TX,IRS|FTC,202|,3707683|,|,Phone,2142|9043
31380697,07/05/2011,Oxford,PA,Government Grant Dept. IRS,202,6004531,,Phone Call: Landline,9043
31382416,07/05/2011,Denison,IA,IRS,480,3050847,,Phone,9043
31382943,07/05/2011,FOUNTAIN RUN,KY,IRS,,,,Internet/E-mail,9043
31394302,07/06/2011,Arlington Hts,IL,IRS.gov,,,,Internet/E-mail,9043
31400693,07/06/2011,Waterford,MI,IRS,,,,Internet/E-mail,9044|9043
31434971,07/08/2011,Centreville,VA,IRS,,,,Internet/E-mail,9044|9043
31497737,07/13/2011,Pinebush,NY,IRS,,,,Internet/E-mail,9043
31517052,07/14/2011,Manitowoc|Manitowoc,WI|WI,IRS,818,3969327,,Phone Call: Landline,9043|2142
31523328,07/14/2011,Defiance|Defiance,OH|OH,Internal Revenue Service,,,,,2142|9043
31533790,07/15/2011,Sioux City,IA,IRS,866,8282185,,Phone,2142|9043
31541958,07/15/2011,San Diego,CA,IRS|FBI,|,|,|,,9043|9044
31542150,07/15/2011,Maple Park,IL,IRS,876,8577375,,Phone Call: Landline,9043|2142
31554704,07/18/2011,Indianapolis,IN,IRS,876,3669205,,Phone Call: Landline,9046|9043
31575174,07/19/2011,,,IRS,818,5396260,,Phone Call: Landline,2142|9043
31575451,07/19/2011,Modesto,CA,IRS|Publishers Clearinghouse,818|876,5396260|8847077,|,Phone Call: Landline,2142|9001|9043
31609537,07/21/2011,Columbia City,IN,IRS,876,5615189,,Mobile: Text/Email/IM,9043|2142
31613920,07/21/2011,North Platte|Lakewood,NE|,IRS,866,9785374,,Phone Call: Landline,9043
31650557,07/03/2011,LA CROSSE,WI,Claimed to be the IRS,,,,Internet/E-mail,9043
31690057,07/27/2011,New Orleans,LA,IRS,404,5525566,,Phone,9043
31693428,07/27/2011,Glendale,AZ,IRS,800,8293903,,Phone,9043
31700209,07/27/2011,Los Angeles,CA,IRS,,,,Internet/E-mail,9043
31772977,07/20/2011,SAN BENITO,TX,irs.gov,,,,Internet/E-mail,9043
31824447,08/03/2011,Lakewood|Lakewood,CO|CO,IRS,202,6004531,,Phone Call: Landline,0323|9043
31831844,08/04/2011,Lisben|Lisben,OH|OH,IRS,,,,Internet/E-mail,9043
31836640,08/04/2011,Pemberville,OH,IRS|Anerican Sweepstakes Network,866|702,9787912|6289619,|,Phone Call: Landline,9043|2142
31854730,08/05/2011,Cleveland,TN,IRS,876,4328476,,Phone,4190|9043
31879569,08/08/2011,Garrison,NY,IRS-EIN Online,,,,Internet Web Site,9043
31898156,08/09/2011,Menahga,MN,IRS,866,3297912,,Phone,9043
31917582,08/10/2011,Glendale,AZ,IRS,876,5745612,,Phone Call: Landline,9043
31938385,08/11/2011,Ferrisburg,VT,IRS|Citzens Bank,|,|,|,Internet Web Site,9044|9043
31940977,08/11/2011,Old Orchard Beach,ME,Internal Revenue Service,876,4039055,,Phone,9043
31943855,08/11/2011,Cino|Cino,CA|,IRS,,,,Internet/E-mail,9043
31954197,08/12/2011,Jacksonville,FL,IRS,876,4685549,,Phone Call: Landline,9043|2142
31957787,08/12/2011,Church Hill,MD,IRS,876,3593420,,Phone,9043
32026823,08/17/2011,Chalmette,LA,Global International/IRS,876,4796847,,Mobile: Text/Email/IM,2142|9043
32053983,08/18/2011,Elominster,MA,IRS,,,,Phone Call: Landline,9043
32069554,08/19/2011,St Augustine,FL,irs washington dc,202,2497493,,Phone,9043
32147016,08/25/2011,Rancho Murita,CA,IRS|Bank of America,876|,3038392|,|,Phone,2142|9043
32148564,08/25/2011,Jacksonville,NC,IRS,315,6359781,,Phone Call: Landline,9043
32227957,08/31/2011,North Olmsted,OH,IRS,,,,Internet/E-mail,9044|9043
32237399,08/31/2011,Doral|Doral,FL|FL,IRS,321,6979055,,Phone Call: Mobile/Cell,9043
32238564,08/31/2011,Brockton,MA,"Department of Treasury, Internal Revenue Service",,,,Internet/E-mail,9043
32265896,09/02/2011,Rochester,NY,IRS,202,5913050,,Fax,9043|3908
32304933,09/06/2011,Newport News,VA,IRS,,,,Internet/E-mail,9043
32315323,09/06/2011,Oneida,NY,IRS,206,8669379,,Phone Call: Landline,9043
32335332,09/07/2011,Highland,IN,IRS Collection Agency|American Cash,323|,8633716|,|,Phone,3003|9043
32346857,09/08/2011,Cincinnati,OH,IRS,202,5913050,,Fax,3908|9043
32348853,09/08/2011,West Allis|West Allis,WI|WI,IRS|American Cash Awards,|,|,|,Phone Call: Landline,9043|2142
32358614,09/09/2011,Naperville,IL,IRS Imposter,876,8996266,,Phone,9043
32358752,09/09/2011,Naperville,IL,IRS,876,8934466,,Phone,9043
32449942,09/15/2011,Columbus,NE,IRS,561,3289144,,Phone Call: Landline,9043
32466894,09/16/2011,Middletown,NY,IRS,202,3910960,,Phone Call: Mobile/Cell,2142|9043
32473017,09/16/2011,Baltimore,MD,Internal Revenue Service,443,3149292,,Phone,9043
32506485,09/19/2011,Dallas,TX,IRS,480,4094680,,Phone,9043
32548655,09/21/2011,Pittsburgh,PA,IRS|Price Waterhouse,876|702,4870067|3478005,|,Phone Call: Landline,9043|2142
32549191,09/21/2011,Syracuse,NY,IRS,202,5597921,,Phone,0323|9043
32604944,09/23/2011,Mariposa,CA,IRS,876,4438323,,Phone,2142|9043
32653688,09/27/2011,Mechanicsburg,PA,IRS,631,6546025,,Phone Call: Mobile/Cell,9043
32662417,09/27/2011,Scappoose,OR,IRS,206,2253105,,Phone,0323|9043
32697092,09/29/2011,Rosharon,TX,IRS,,,,Internet/E-mail,9043
32711773,09/30/2011,Langhorne,PA,IRS,,,,Internet/E-mail,9044|9043
32716305,09/30/2011,Livonia,LA,IRS,,,,Internet/E-mail,9043
32717468,09/30/2011,Luray,VA,IRS,202,4703924,,Phone Call: Mobile/Cell,2142|9043
32756261,10/03/2011,Huntington Beach|Huntington Beach,CA|CA,IRS,202,4703644,,Phone Call: Landline,2142|9043
32758927,10/03/2011,Westfield,MA,IRS,876,4069979,,Phone,9043
32780660,09/29/2011,ROSHARON,TX,IRS,,,,Internet/E-mail,9043
32784740,10/04/2011,Indianapolis|Indianapolis,IN|IN,IRS,876,3580214,,Phone Call: Landline,9043
32791490,10/04/2011,Sterling,VA,IRS,,,,Internet/E-mail,3912|9043
32816113,10/05/2011,Buffalo,NY,IRS,904,7682802,,Phone,9043
32819759,10/05/2011,Clarkton,NC,IRS,853,3103491,,Phone,9043
32920026,10/11/2011,New Oxford,PA,IRS,,,,Internet Web Site,9043
32944955,10/12/2011,Bonners Ferry,ID,IRS,,,,Internet/E-mail,9043
32949345,10/12/2011,Lobuck,TX,IRS,206,8553105,,Phone,9043|2142
32974621,10/13/2011,South St Paul,MN,Dept of Treasury IRS,,,,Internet/E-mail,9043
32976420,10/13/2011,Winona|Winona,MN|MN,IRS,,,,Internet/E-mail,9043|9044
32977567,10/13/2011,Carbondale,IL,US IRS,503,7161016,,Phone Call: Mobile/Cell,9043
32985867,10/13/2011,Oklahoma City,OK,IRS,206,8553105,,Phone Call: Mobile/Cell,9043
32986779,10/13/2011,Rocksspring,,IRS,856,1003482,,Phone,9043|0323
32996404,10/14/2011,Newport News,VA,IRS,,,,Internet/E-mail,9043
32999006,10/14/2011,Salt Lake City,UT,IRS,,,,Phone Call: Landline,2142|9043
32999515,10/14/2011,The Dalles,OR,IRS,,,,Internet/E-mail,9044|9043
33026310,10/17/2011,Spring Hill,FL,IRS,,,,Internet/E-mail,9043|9044
33027041,10/17/2011,Mentone,AL,IRS,206,6879691,,Phone Call: Landline,2142|9043
33055042,10/18/2011,Gadsden,SC,IRS|I Dream Foundation,202|602,5584544|7484082,|,Phone,9043
33055784,10/18/2011,Coalinga,CA,IRS Draw Tax Service,404,7860777,,I Initiated Contact,9043
33072494,10/19/2011,Mesa,AZ,IRS,206,8553105,,Phone Call: Landline,0323|9043
33075548,10/19/2011,Grand Bay,AL,IRS,206,8553105,,Phone Call: Mobile/Cell,9043|0323
33077348,10/19/2011,Denver,CO,IRS,850,4383319,,Phone,9043
33095507,10/20/2011,Travers City,MI,IRS|Dream Foundation,202|602,4703644|7484082,|,Phone,2142|9043
33192916,10/27/2011,Batavia,IL,IRS,876,8577375,,Phone Call: Landline,9043|2142
33195844,10/27/2011,East Lyme,CT,Internal Revenue Department,800,8293903,,Phone,9043
33213754,10/28/2011,Lagrange,GA,IRS,800,8293903,,Phone,9043
33251165,11/01/2011,North Palm Beach,FL,IRS,,,,Phone,9043
33309209,11/03/2011,Corpus Christi,TX,IRS,,,,Internet/E-mail,9043
33344832,11/04/2011,Danville,PA,IRS,202,4079845,,Phone Call: Landline,9043
33359782,11/05/2011,Shepherdstown,WV,IRS|Lottery|Lottery|Lottery,876|876|876|876,4184982|3782645|5836925|5724740,|||,Phone Call: Landline,9043
33394500,11/08/2011,Methuen,MA,Internal Revenue Service,760,6931523,,Phone Call: Landline,9043|2142
33395718,11/08/2011,Raymond,MS,IRS,,,,Phone,9043
33401072,11/08/2011,St Cloud,MN,IRS|unknown,213|727,6079104|6749999,|,Phone,9001|9043|3322
33405325,11/08/2011,Hot Springs National Park,AR,IRS,,,,Phone,9043
33422225,11/09/2011,Arlington,TX,Internal Revenue Service,,,,Internet/E-mail,9043
33474534,11/14/2011,Holly Springs,MS,IRS,876,8932838,,Phone,9043
33480907,11/14/2011,Atwar,AL,IRS|Jag Dish,202|,6575258|,|,Phone Call: Landline,9043|0323|4190
33510565,11/16/2011,Goodletsville,TN,IRS,,,,Internet/E-mail,0334|9043
33544468,11/17/2011,Portersville,PA,IRS Lottery,876,4208921,,Phone,2142|9043
33545742,11/17/2011,Hatboro,PA,IRS,876,5683444,,Phone Call: Landline,2142|9043
33550418,11/17/2011,Shadyside,OH,IRS,702,9009353,,Phone,9043|2142
33561959,11/18/2011,Cincinnati,OH,IRS,,,,Internet/E-mail,9044|9043
33605068,11/21/2011,Peebles,OH,IRS,800,8293903,,Phone,9043
33633757,11/23/2011,Plattsmouth,NE,IRS,202,4703644,,Phone,9043|2142
33675450,11/28/2011,Spearfish,SD,IRS,347,4689578,,Phone Call: Mobile/Cell,9043
33692723,11/29/2011,Manchester,CT,IRS,512,4600217,,Phone,9043
33711727,11/30/2011,Saint Louis,MO,IRS,,,,Internet/E-mail,9043|0334
33718168,11/30/2011,Tucson,AZ,IRS,,,,Internet/E-mail,9043|3322
33728421,12/01/2011,Jonesborough,,IRS,,,,Internet/E-mail,9043
33731052,12/01/2011,Dunedin,,IRS,484,6360404,,Mail,9043
33737981,12/01/2011,Lacrosse,WI,IRS,,,,Internet/E-mail,9043
33750213,11/28/2011,LOS ANGELES,CA,claims to be IRS,,8667287055,,Internet/E-mail,9043
33751571,11/16/2011,PORTLAND,OR,IRS,,,,Internet/E-mail,9043
33752747,11/18/2011,WAUNAKEE,WI,Internal Revenue Service,,,,Internet/E-mail,9043
33805063,12/06/2011,Bronx,NY,IRS,816,3252219,,Phone,9001|9043
33840559,12/08/2011,Windsor Mill,MD,IRS|Unknown|UPS|CTC Teleservices,716|876|360|815,8106007|3581464|2326455|7879520,|||,Phone,9043
33931472,12/14/2011,West Palm Beach,FL,IRS,954,4237438,,Phone,9043
33988992,12/16/2011,Convent,LA,IRS,202,4700726,,Phone Call: Mobile/Cell,0323|9043
34009101,12/19/2011,Marion|Toms River,SC|NJ,IRS,208,4030134,,Phone Call: Mobile/Cell,9043|2142
34035336,12/14/2011,SCANTON,SC,Internal Revenue Service,202,8746748,,Internet/E-mail,9043
34081111,12/22/2011,Eastover,SC,IRS,214,3217836,,Phone Call: Mobile/Cell,9043
34083330,12/22/2011,Wasilla,AK,IRS,360,5240371,,Phone Call: Landline,9043
34086037,12/22/2011,Conneaut Lake,PA,IRS|United Parcel Service,|876,|4489855,|,Phone Call: Landline,0350|9043
34180513,12/28/2011,Rockwood,TN,Unknown IRS Fraud,,,,Internet/E-mail,9043
34216999,12/30/2011,Goshen,IN,IRS,416,4120485,,Phone,9043
34223953,12/30/2011,Troy,AL,IRS,702,3578786,,Phone Call: Mobile/Cell,9043
34262631,01/03/2012,Henrico,VA,IRS,876,3945956,,Phone,2142|9043
34296174,01/04/2012,La Push,WA,Internal Revenue|FedEx,876|876,4167256|3645514,|,Phone,9043
34374792,01/09/2012,Newport News,VA,IRS,,,,,9043
34379446,01/09/2012,Hialeah,FL,IRS,512,4600643,,Phone,9043
34379720,01/09/2012,Saint Petersburg,FL,Internal Revenue Service,,,,Internet/E-mail,9043
34399635,01/10/2012,Saint Augustine,FL,IRS,,,,Phone,2142|9043
34417098,01/11/2012,Arlington,WI,Internal Revenue Service Metro Plex 1|NACHA,|,|,|,Internet/E-mail,9043|9044
34493185,01/17/2012,Burlington,MA,IRS,,,,Internet/E-mail,9044|9043
34514079,01/18/2012,Columbus,OH,Deptment of Treausry IRS Cinncinati OH  Imposter,,,,,9043
34515239,01/18/2012,Danville,IL,Internal Revenue,876,2896463,,Phone,9043
34518443,01/18/2012,Colorado Springs,CO,IRS,,,,Internet/E-mail,9043
34540087,01/19/2012,Tucson,AZ,IRS,876,4438323,,Phone,9043|2142
34557090,01/20/2012,Simi Valley,CA,IRS,,,,Phone,9043
34578668,01/23/2012,Cape Coral|Cape Coral,FL|FL,IRS,,,,Internet/E-mail,9043
34590031,01/23/2012,Crestline,CA,IRS,,,,Internet (Other),9043
34592986,01/23/2012,Palmdale,CA,IRS,,,,Phone,9043|2142
34598106,01/24/2012,Elberton,GA,IRS,678,5982099,,In Person,9043
34598208,01/24/2012,Staten Island,NY,IRS,,,,Internet/E-mail,9043
34606825,01/24/2012,Port Richey,FL,IRS,,,,Phone Call: Landline,2142|9043
34627458,01/25/2012,Bartlett,IL,IRS,312,5332528,,Phone,9043
34633058,01/25/2012,North Catasauqua,PA,IRS,513,2397672,,Phone,9043
34645173,01/26/2012,Encinitas,CA,IRS,800,8293903,,Phone Call: Landline,9001|9043
34646647,01/26/2012,Newark|Odessa,DE|DE,IRS,,,,Phone,9043
