 Reference Number,  Created Date,"Consumer Address, City","Consumer Address, State Code",Company Name,"Company Phone, Area Code","Company Phone, Number",Complaint Info Initial Contact Method,Complaint Info Product Service Code
46225271,06/02/2014,Portland,OR,IRS,202,5068432,Phone Call: Landline,9043
46225274,06/02/2014,Moreno Valley,CA,IRS,202,2807675,Phone,9043
46225279,06/02/2014,Santa Clarita,CA,IRS,202,5069108,Phone Call: Landline,9043
46225281,06/02/2014,Bloomfield,NJ,IRS,732,3253624,Phone Call: Landline,9043
46225317,06/02/2014,Dover,FL,IRS,202,2414007,Phone Call: Landline,9043
46225321,06/02/2014,San Francisco,CA,IRS,917,3003102,Phone Call: Landline,9043
46225333,06/02/2014,Ablilene|Fort Worth,TX|TX,IRS,202,7548571,Phone Call: Landline,9043
46226620,06/02/2014,Ponce Inlet,FL,IRS,202,4077227,Phone Call: Landline,9043
46226631,06/02/2014,Kansas City,MO,IRS,202,2411982,Phone Call: Landline,9043
46226639,06/02/2014,Miami,FL,IRS Legal Services,917,6528604,Phone Call: Landline,9043
46226641,06/02/2014,Winter Haven,FL,IRS,202,2411375,Phone,9043
46226672,06/02/2014,Phoenix,AZ,IRS,202,8641222,Phone Call: Mobile/Cell,9043
46226673,06/02/2014,Barstow,CA,IRS,561,7053493,Phone Call: Mobile/Cell,9043
46226690,06/02/2014,Chantilly,VA,IRS,202,2411860,Phone,9043
46226708,06/03/2014,Felton,DE,IRS,202,8641256,Phone Call: Landline,9043
46226746,06/03/2014,Denver,CO,IRS,415,2511037,Phone Call: Landline,9043
46226802,06/03/2014,Bayonne|Brooklyn,NJ|NY,FBI\IRS,202,2390605,Phone Call: Mobile/Cell,9043
46226861,06/03/2014,San Francisco,CA,IRS,773,4427512,Phone Call: Landline,9043
46226879,06/03/2014,Mcmechen,WV,IRS,,120015,Phone Call: Landline,9043
46226900,06/03/2014,Scottsdale,AZ,IRS,202,8641255,Phone Call: Landline,9043
46226934,06/03/2014,Lakeland,FL,IRS,202,2418339,Phone Call: Landline,9043
46226947,06/03/2014,Tampa,FL,IRS,202,2412158,Phone Call: Landline,9043
46226971,06/03/2014,Madison,MS,IRS,202,6189604,Phone Call: Landline,9043
46226998,06/03/2014,Boco Ratan,FL,IRS,202,2390567,Phone Call: Landline,9043
46227127,06/04/2014,Minneapolis,MN,IRS,202,5068501,Phone Call: Landline,9043
46227135,06/04/2014,Hackensack,NJ,IRS,202,2412019,Phone Call: Mobile/Cell,9043
46227144,06/04/2014,Phoenix|Phoenix,AZ|AZ,IRS,202,2414908,Phone Call: Landline,9043
46227146,06/04/2014,Warner Robins,GA,IRS,202,2414007,Phone,9043
46227160,06/04/2014,,,IRS,202,5069461,Phone,9043
46227203,06/04/2014,Missouri City,TX,IRS,661,4187313,Phone Call: Landline,9043
46227211,06/04/2014,Gilbert,AZ,IRS,202,2414007,Phone Call: Landline,9043
46227237,06/04/2014,Temecula|Temecula,CA|CA,IRS,202,5069319,Phone Call: Landline,9043
46227269,06/04/2014,Las Vegas,NV,IRS,,,Phone,9043
46227293,06/04/2014,,,IRS,202,5068501,Phone Call: Landline,9043
46227295,06/04/2014,Albuquerque,NM,IRS,202,5069386,Phone,9043
46227336,06/04/2014,Happy Valley,OR,IRS,202,2410765,Phone,9043
46227367,06/04/2014,Trenton,NJ,IRS,917,3003725,Phone Call: Landline,9043
46227378,06/04/2014,Spokane,WA,IRS,202,8641041,Phone Call: Landline,9043
46227392,06/04/2014,Canoga Park,CA,IRS,661,6957835,Phone Call: Mobile/Cell,9043
46227403,06/04/2014,Iowa,LA,IRS,415,2514089,Phone,9043
46227404,06/04/2014,San Diego,CA,IRS Tax Crime Office,917,3003725,Phone Call: Landline,9043
46227470,06/05/2014,Warren,OH,IRS,800,9290975,Phone,9043
46227484,06/05/2014,Eagan|Minnapolis,MN|MA,IRS,800,9821278,Phone Call: Landline,9043
46227491,06/05/2014,Boston,MA,IRS,888,2011689,Phone,9043
46227547,06/05/2014,King of Prussia,PA,IRS,877,7056993,Phone,9043
46227554,06/05/2014,Saint Petersburg,FL,IRS,202,2414938,Phone Call: Landline,9043
46227566,06/05/2014,El Cajon,CA,IRS 3642,202,2230880,Phone Call: Mobile/Cell,9043
46227583,06/05/2014,Amarillo,TX,IRS,202,2392614,Phone Call: Landline,9043
46227606,06/05/2014,Clearville|Clearville,PA|PA,IRS,202,5069212,Phone Call: Landline,9043
46227613,06/05/2014,Albuquerque,NM,IRS,202,5069240,Phone Call: Landline,9043
46230249,06/05/2014,Hicksville,NY,IRS,202,6189604,Phone Call: Landline,9043
46230261,06/05/2014,South Portland,ME,IRS,310,7424166,Phone Call: Landline,9043
46230276,06/05/2014,Rhinelander,WI,IRS,202,7548571,Phone Call: Landline,9043
46230280,06/05/2014,Brooklyn,NY,IRS,202,5069457,Phone Call: Landline,9043
46230298,06/05/2014,San Jose,CA,IRS,202,5069364,Phone Call: Landline,9043
46230304,06/05/2014,,,IRS,202,2413122,Phone Call: Landline,9043
46230311,06/05/2014,Naperville,IL,IRS,,,Phone,9043
46230316,06/05/2014,MONACA,PA,IRS,,,Phone Call: Landline,9043
46230322,06/05/2014,Dassel,MN,IRS,800,2227426,Phone,9043
46230336,06/05/2014,Princeton,NJ,IRS,202,2418339,Phone Call: Landline,9043
46230347,06/05/2014,Fullerton,CA,FBI/IRS,800,2939691,Phone Call: Mobile/Cell,9043
46230350,06/05/2014,San Mateo,CA,IRS|Federal Reserve Bank,202|,7384482|,Phone,9043
46230358,06/05/2014,Fredericksburg,VA,IRS,202,5068969,Phone,9043
46230374,06/05/2014,Brentwood,CA,IRS,202,5068085,Phone,9043
46230387,06/05/2014,Renton,WA,IRS,202,2397104,Phone,9043
46230430,06/06/2014,Joesph,OR,IRS,202,8641256,Phone Call: Landline,9043
46230449,06/06/2014,Herndon|Herndon,VA|VA,IRS,202,8641250,Phone Call: Mobile/Cell,9043
46230493,06/06/2014,San Diego,CA,IRS,253,6173962,Phone Call: Landline,9043
46230535,06/06/2014,,,IRS,202,2418339,Phone Call: Landline,9043
46230644,06/06/2014,Tulsa,OK,IRS,202,5068501,Phone Call: Landline,9043
46230658,06/06/2014,Sunnyville,CA,IRS,415,2519738,Phone Call: Landline,9043
46230692,06/06/2014,Louisville,CO,IRS,202,2416850,Phone Call: Landline,9043
46230700,06/06/2014,Irving,TX,IRS,800,8291040,Phone Call: Landline,9043
46230711,06/06/2014,Bradley,ME,IRS,978,6993050,Phone Call: Mobile/Cell,9043
46230715,06/06/2014,Denver,CO,IRS,253,6173962,Phone Call: Mobile/Cell,9043
46230719,06/06/2014,Austin,TX,IRS,202,2411362,Phone Call: Mobile/Cell,9043
46230720,06/06/2014,Washington,DC,IRS,,6008693,Phone Call: Landline,9043
46230729,06/06/2014,Saratoga,CA,IRS Sweepstakes|Federal Trade Commission,876|509,3866740|6719014,Phone Call: Landline,9043
46230770,06/09/2014,Newpaltz,NY,IRS,202,5068599,Phone Call: Landline,9043
46230794,06/09/2014,Pittsburgh,PA,IRS,202,8641041,Phone Call: Landline,9043
46230805,06/09/2014,Vero Beach,FL,IRS,202,5069364,Phone Call: Landline,9043
46230871,06/09/2014,Bangor,ME,IRS,585,6333780,Phone Call: Landline,9043
46230888,06/09/2014,Melvill,NY,IRS,202,5069395,Phone,9043
46230897,06/09/2014,Phoenix,AZ,IRS,415,2511037,Phone Call: Landline,9043
46230922,06/09/2014,,,IRS,202,5069524,Phone,9043
46230952,06/09/2014,Artesia|Artesia,CA|CA,IRS,888,2011689,Phone Call: Landline,9043
46230977,06/09/2014,Romeoville,IL,IRS,202,5068969,Phone Call: Landline,9043
46230993,06/09/2014,,,IRS,585,6331814,Phone Call: Landline,9043
46231037,06/09/2014,Las Vegas,NV,IRS,206,4140843,Phone Call: Mobile/Cell,9043
46231057,06/09/2014,Bronx,NY,IRS,202,5069457,Phone Call: Landline,9043
46231078,06/09/2014,Holiday,UT,IRS,202,5068062,Phone Call: Landline,9043
46231091,06/09/2014,Peoria,AZ,IRS,202,3910976,Phone Call: Mobile/Cell,9043
46231108,06/09/2014,Burlington,MA,IRS,415,2511037,Phone Call: Landline,9043
46231164,06/09/2014,El Sobrante,CA,IRS,888,2011689,Phone Call: Landline,9043
46231167,06/09/2014,,,IRS,202,5068599,Phone Call: Landline,9043
46231226,06/09/2014,Fremont|Milpitas,CA|CA,IRS,305,9747053,Phone Call: Mobile/Cell,9043
46232827,06/10/2014,Brooklyn,NY,IRS,202,5068435,Phone Call: Landline,9043
46232850,06/10/2014,Waycross|Waycross,GA|GA,IRS|Mega Millions|Winners International|FTC,912|||206,2174239|||2599918,Phone Call: Landline,9043
46232855,06/10/2014,,CT,IRS,585,6333780,Phone Call: Landline,9043
46232868,06/10/2014,,,IRS,202,5068969,Phone Call: Landline,9043
46232870,06/10/2014,Glen Mills|Glen Mills,PA|PA,IRS,246,2599010,Phone Call: Landline,9043
46232879,06/10/2014,New Smyrna Beach,FL,IRS,202,2412158,Phone Call: Landline,9043
46232898,06/10/2014,Hasbrouck Heights,NJ,IRS,202,2418934,Phone Call: Landline,9043
46232901,06/10/2014,Ann Arbor|Ann Arbor,MI|MI,IRS,914,3649546,Phone,9043
46232909,06/10/2014,,,IRS,284,8821712,Phone Call: Landline,9043
46232912,06/10/2014,Sellersburg,,IRS,202,4369885,Phone Call: Landline,9043
46232918,06/10/2014,Cambria,CA,IRS,202,2412787,Phone Call: Landline,9043
46232920,06/10/2014,Burlington,NJ,IRS,646,8755639,Phone Call: Landline,9043
46232931,06/10/2014,Middlesex,NJ,IRS,202,5068031,Phone,9043
46232933,06/10/2014,Wallingford,PA,IRS,202,5068026,Phone Call: Landline,9043
46232940,06/10/2014,La,PA,IRS,,,Phone,9043
46232950,06/10/2014,Prieston,VA,IRS,202,5608062,Phone Call: Landline,9043
46232978,06/10/2014,Portland,OR,IRS,954,2040233,Phone Call: Landline,9043
46233006,06/10/2014,St Paul,MN,IRS,202,8641255,Phone,9043
46233011,06/10/2014,Meridian,ID,IRS,202,5069395,Phone Call: Landline,9043
46233023,06/10/2014,Pensacola,FL,IRS,661,7592960,Phone Call: Landline,9043
46233028,06/10/2014,Bessemer City,NC,IRS,202,8641257,Phone,9043
46233061,06/10/2014,,,IRS,206,4144126,Phone Call: Landline,9043
46233076,06/10/2014,Chicago,IL,IRS,206,4144000,Phone Call: Landline,9043
46233096,06/10/2014,Milwaukee,OR,IRS,202,2807114,Phone Call: Landline,9000|9043
46233123,06/10/2014,Rochester,NY,IRS,202,2418934,Phone Call: Mobile/Cell,9043
46233125,06/10/2014,Colusa,CA,IRS,866,2673298,Phone Call: Landline,9043
46233175,06/10/2014,New Orleans,LA,IRS,888,2011689,Phone Call: Landline,9043
46233198,06/11/2014,Brooklyn,NY,IRS,202,2418309,Phone Call: Landline,9043
46233208,06/11/2014,Ellicott City,MD,IRS,202,3262000,Phone Call: Landline,9043
46233243,06/11/2014,Puyallup,WA,IRS,415,2511037,Phone Call: Landline,9043
46233258,06/11/2014,Fresno,CA,IRS,202,5069364,Phone Call: Landline,9043
46233290,06/11/2014,East Amhurst,NY,IRS,202,2414026,Phone Call: Landline,9043
46233291,06/11/2014,El Paso,IL,IRS,202,5068969,Phone Call: Landline,9043
46233294,06/11/2014,East Bethel,MN,IRS,888,3509587,Phone Call: Landline,9043
46233334,06/11/2014,Detroit,MI,IRS,877,7662161,Phone Call: Landline,9043
46233361,06/11/2014,Dallas,GA,IRS,202,4701419,Phone Call: Landline,9043
46233375,06/11/2014,Phoenix,AZ,IRS,310,7424166,Phone,9043
46233401,06/11/2014,Stockton,CA,IRS,800,8291040,Phone Call: Landline,9043
46233409,06/11/2014,Pueblo,CO,IRS,888,4728498,Phone Call: Landline,9043
46233440,06/11/2014,San Juan Capistrano,CA,IRS,917,3003725,Phone Call: Landline,9043
46233444,06/11/2014,Minneapolis,MN,IRS,202,2411435,Phone Call: Landline,9043
46233472,06/11/2014,Atwater,CA,IRS,202,8641255,Phone Call: Landline,9043
46233477,06/11/2014,Bothell,WA,IRS,202,5068599,Phone Call: Landline,9043
46233478,06/11/2014,Tampa,FL,IRS,716,2612185,Phone,9043
46233479,06/11/2014,Dublin,CA,IRS,202,2807114,Phone Call: Landline,9043
46233485,06/11/2014,Tiger,OR,IRS,202,5069740,Phone Call: Landline,9043
46233535,06/12/2014,Queens,NY,IRS,202,2413122,Phone Call: Landline,9043
46233552,06/12/2014,Tonte Bedera,FL,IRS,202,7512560,Phone Call: Landline,9043
46233559,06/12/2014,,,IRS,888,2011689,Phone,9043
46233566,06/12/2014,Whittier,CA,IRS,253,6173958,Phone,9043
46233569,06/12/2014,Crown Point,IN,IRS,202,5069529,Phone Call: Landline,9043
46233596,06/12/2014,Newport News,VA,IRS,202,8641223,Phone,9043
46233616,06/12/2014,Glendale,WI,IRS,202,5068708,Phone Call: Mobile/Cell,9043
46233671,06/12/2014,Cohoes,NY,IRS,415,2511003,Phone Call: Landline,9043
46233692,06/12/2014,MODESTO,CA,IRS,202,5068063,Phone Call: Landline,9043
46233724,06/12/2014,Fairfield,OH,IRS,202,2411435,Phone Call: Landline,9043
46233725,06/12/2014,Parkton,MD,IRS,202,6097049,Phone Call: Landline,9043
46233741,06/12/2014,Wheeling,WV,IRS,202,2411375,Phone Call: Landline,9043
46233744,06/12/2014,Davidsville,PA,IRS,202,7512551,Phone Call: Landline,9043
46233762,06/12/2014,Albuquerque,NM,IRS,202,2392614,Phone,9000|9043
46233764,06/12/2014,Gladscow,KY,IRS,877,3950725,Phone Call: Landline,9043
46233774,06/12/2014,Hammond,IN,IRS,202,5959424,Phone Call: Landline,9043
53263477,05/01/2014,,,IRS,202,8641161,,9043
53263487,05/01/2014,Marlborough,MA,They claim to be from the IRS but they are not,,,Phone Call: Landline,9043
53263560,05/01/2014,Freeport,MI,IRS,202,2396652,Phone Call: Landline,9043
53263652,05/01/2014,Round Hill,VA,IRS,585,6331814,Phone,9043
53263714,05/01/2014,Rehoboth Beach,DE,IRS,,,,9043
53275623,05/01/2014,Acton,MA,IRS,,,Phone Call: Landline,9043
53275657,05/01/2014,Port Ewen,NY,IRS,202,2396344,Phone,9043
53275705,05/01/2014,Lebec,CA,IRS,804,5015860,Phone Call: Mobile/Cell,9043
53275717,05/01/2014,,,IRS Office,202,2410617,Phone Call: Mobile/Cell,9043
53275728,05/01/2014,Modesto,CA,IRS,,,Phone Call: Mobile/Cell,9043
53275736,05/01/2014,,,IRS Phone Scam,,,Phone Call: Landline,9043
53275793,05/01/2014,San Jose,CA,IRS,703,9571561,Phone Call: Mobile/Cell,9043
53275834,05/01/2014,Plano,TX,IRS,718,5544544,Phone,9043
53275837,05/01/2014,,,IRS,206,4144646,Phone Call: Landline,9043
53275847,05/01/2014,Oswego,IL,IRS,,,Phone Call: Landline,9043
53275851,05/01/2014,Carriere,MS,IRS,415,2518453,Phone Call: Landline,9043
53275854,05/01/2014,,,IRS,202,4705482,Phone Call: Landline,9043
53275882,05/01/2014,Kings Park,NY,Internal Revenue Service,202,2410617,Phone Call: Mobile/Cell,9043
53275898,05/01/2014,Pittsford|Pittsford,NY|NY,IRS,,,Phone,9043
53275953,05/01/2014,,TX,IRS,202,5069141,Phone Call: Mobile/Cell,9043
53275986,05/01/2014,Mendota Heights,MN,IRS,202,2414905,Phone Call: Landline,9043
53276035,05/01/2014,Calumet City,IL,IRS,877,9683413,Phone Call: Mobile/Cell,9043
53276045,05/01/2014,Warren,NJ,IRS,876,5966600,Phone Call: Mobile/Cell,9043
53276094,05/01/2014,Endwell,NY,IRS,,,Phone Call: Landline,9043
53276096,05/01/2014,New York,NY,IRS,979,7055130,Phone Call: Landline,9043
53276137,05/01/2014,Deland,FL,IRS,202,2397073,Phone Call: Landline,9043
53276247,05/01/2014,Tucson,AZ,IRS,888,5080038,,9043
53276248,05/01/2014,Tualatin,OR,IRS,,,,9043
53276259,05/01/2014,Salinas,CA,IRS,585,2837019,Phone Call: Mobile/Cell,9043
53276306,05/01/2014,Robbinsville,NJ,IRS Crime Investigations,202,2414905,Phone Call: Landline,9043
53276376,05/01/2014,Pleasanton,CA,IRS,866,9786540,Phone Call: Landline,9043
53276380,05/01/2014,Amherst,NY,IRS,888,8862632,Phone Call: Landline,9043
53276389,05/01/2014,Baltimore|Baltimore,MD|MD,IRS,888,5080038,Phone Call: Landline,9043
53276458,05/01/2014,Columbus,OH,IRS,202,5069216,Phone Call: Landline,9043
53276473,05/01/2014,Anderson,IN,IRS,253,3308288,Phone Call: Mobile/Cell,9043
53276474,05/01/2014,Mesa,AZ,IRS,,,Phone Call: Landline,9043
53276483,05/01/2014,,KY,pretending to be IRS agent,415,2518361,Phone Call: Mobile/Cell,9043
53276519,05/01/2014,Castro Valley,CA,IRS,206,4144646,Phone Call: Landline,9043
53276536,05/01/2014,,,IRS,415,2514089,Phone Call: Landline,9043
53282789,05/01/2014,,TX,irs,,,Phone Call: Landline,9043
53282823,05/01/2014,,,IRS   ????,866,3070757,,9043
53282841,05/01/2014,Marion,IN,IRS,516,5157848,Phone Call: Landline,9043
53282888,05/01/2014,Lewis,DE,IRS,202,4596028,Phone,9043
53282951,05/01/2014,Charlotte,NC,IRS,202,4704831,Phone Call: Landline,9043
53282986,05/01/2014,Coon Rapids,MN,IRS,716,2063218,Phone Call: Landline,9043
53283001,05/01/2014,Moreno Valley,CA,IRS|Mega Millions,876|828,3659635|3672710,Phone Call: Mobile/Cell,9043
53283021,05/01/2014,,IL,IRS,202,2410617,Phone Call: Landline,9043
53283024,05/01/2014,Tennett Square,PA,IRS,,,Internet Web Site,9043
53286144,05/01/2014,Middletown,DE,IRS,,,Phone Call: Landline,9043
53286202,05/01/2014,Baldwin,MO,IRS,888,5080928,Phone Call: Landline,9043
53286216,05/01/2014,,,IRS,,,,9043
53286303,05/02/2014,San Diego,CA,IRS Headquarters,202,2410697,Phone Call: Landline,9043
53286319,05/02/2014,North Liberty,IA,IRS,415,2518453,Phone Call: Mobile/Cell,9043
53286334,05/02/2014,Augusta,GA,irs,202,5069216,Phone Call: Landline,9043
53286437,05/02/2014,Houston,TX,IRS,202,2807675,Phone Call: Landline,9043
53286478,05/02/2014,Dumont,NJ,IRS,979,7055130,Phone Call: Landline,9043
53286495,05/02/2014,Dunn Loring,VA,Internal Revenue Service,,,Phone Call: Landline,9043
53286496,05/02/2014,Livonia|Livonia,MI|MI,IRS,202,2390567,Phone Call: Landline,9043
53286542,05/02/2014,Clairmont,FL,IRS,,,Internet/E-mail,9043
53286561,05/02/2014,Wellington,FL,IRS,202,5069194,Phone Call: Mobile/Cell,9043
53286655,05/02/2014,Framingham|Framingham,MA|,IRS,206,4364856,Phone,9043
53286831,05/02/2014,,,IRS,,,Phone,9043
53286832,05/02/2014,Miami,FL,IRS,888,9098081,Phone Call: Landline,9043
53286844,05/02/2014,St Anne|St Anne,IL|,IRS,202,2411366,Phone,9043
53286885,05/02/2014,Edinburg,TX,IRS,,,Phone Call: Landline,9043
53286890,05/02/2014,Dudley,MA,IRS,979,7055130,Phone Call: Landline,9043
53286891,05/02/2014,,,IRS,202,2411818,Phone,9043
53286905,05/02/2014,,IN,Company representing IRS,202,2411366,Phone Call: Landline,9043
53286914,05/02/2014,Bressler,PA,IRS,202,2392560,Phone Call: Landline,9043
53286932,05/02/2014,Mims,FL,IRS Phone scam,866,3070757,Phone Call: Landline,9043
53286941,05/02/2014,Paducah,KY,IRS,571,3082451,Phone Call: Mobile/Cell,9043
53287021,05/02/2014,Daly City,CA,IRS,585,6331814,Phone Call: Landline,9043
53291462,05/01/2014,Sunrise,FL,IRS,866,3070757,Phone Call: Mobile/Cell,9043
53291526,05/01/2014,Dallas,TX,IRS,202,2419802,Phone Call: Landline,9043
53291537,05/01/2014,Arvada,CO,IRS,571,3082451,Phone Call: Landline,9043
53291581,05/01/2014,Russells Point,OH,IRS,202,8641165,Phone Call: Landline,9043
53291646,05/01/2014,Warwick,RI,IRS,202,5069319,Phone,9043
53291660,05/01/2014,Binghamton,NY,Internal Revenue Service,202,4704831,Phone Call: Landline,9043
53291677,05/01/2014,Plainfield,IN,IRS,202,5068894,Phone,9043
53291726,05/01/2014,Corona,NY,IRS,805,6246765,Phone Call: Mobile/Cell,9043
53291733,05/01/2014,Beaverton|Beaverton,OR|OR,IRS,206,4144646,Phone Call: Landline,9043
53291762,05/01/2014,Auburn|Auburn,IN|IN,IRS,585,4446953,Phone Call: Landline,9043
53291777,05/01/2014,Springfield,IL,IRS,585,4447053,Phone,9043
53291796,05/01/2014,Poway,CA,IRS,585,6331814,Phone Call: Landline,9043
53291797,05/01/2014,Lighthouse Point,FL,IRS  -  202-241-1366,,,Phone Call: Landline,9043
53291817,05/01/2014,Portland,OR,IRS,323,4983323,Phone,9043
53291821,05/01/2014,Cromwell,CT,Internal Revenue Service,202,2412073,,9043
53291849,05/01/2014,Palos Verdes Peninsula,CA,IRS|Microsoft Windows,202|984,8541182|5111645,Phone Call: Landline,9043|0350
53291850,05/01/2014,San Francisco,CA,IRS,415,5668855,Phone Call: Landline,9043
53291852,05/01/2014,Indianapolis,IN,IRS,202,7651812,Phone Call: Landline,9043
53291903,05/01/2014,Fort Lauderdale,FL,IRS,415,2511037,Phone,9043
53291906,05/01/2014,Dallas,TX,IRS,310,7424154,Phone Call: Landline,9043
53291931,05/01/2014,Bowling Green,KY,IRS,786,3989367,Phone Call: Mobile/Cell,9043
53291932,05/01/2014,Edison,NJ,IRS,220,6504590,Phone Call: Landline,9043
53291950,05/01/2014,San Jose,CA,IRS,206,4264821,Phone Call: Landline,9043
53291970,05/01/2014,Sacramento|Sacramento,CA|CA,IRS,202,2414886,Phone Call: Landline,9043
53292009,05/01/2014,Moore,OK,IRS,202,2395772,Phone Call: Mobile/Cell,9043
53292029,05/01/2014,Springfield|Springfield,OH|,IRS,202,2411305,Phone Call: Landline,9043
53292050,05/01/2014,Danbury,CT,IRS,979,7055130,Phone Call: Landline,9043
53292058,05/01/2014,Lake Stevens,WA,IRS,202,5069216,Phone,9043
53292059,05/01/2014,Doylestown,PA,Dept Of Legal Affairs/IRS,917,6528604,Phone Call: Mobile/Cell,9043
53292086,05/01/2014,Woodinville,WA,IRS,202,2412073,Phone Call: Landline,9043
53292150,05/01/2014,Burton,MI,IRS,202,5069194,Phone Call: Mobile/Cell,9043
53292229,05/01/2014,Hinsdale,IL,IRS,202,4705482,Phone Call: Landline,9043
53292284,05/01/2014,Thousand Oaks,CA,IRS ,202,4704831,Phone Call: Landline,9043
53292285,05/01/2014,Gainesville,VA,IRS,,,Phone Call: Landline,9043
53292314,05/01/2014,Huntsville,AL,IRS,415,2518453,Phone,9043
53292346,05/01/2014,,FL,IRS,415,2158080,Phone Call: Mobile/Cell,9043
53292414,05/01/2014,Saltillo,MS,IRS,415,2518080,Phone Call: Mobile/Cell,9043
53292429,05/01/2014,Kapolei,HI,IRS,415,2515897,Phone,9043
53300367,05/02/2014,,CA,IRS,585,6331792,Phone Call: Landline,9043
53300486,05/02/2014,,,IRS,,,Phone Call: Landline,9043
53300487,05/02/2014,Misson Viejo,CA,IRS Agent,415,2515897,Phone,9043
53300511,05/02/2014,Midlothian,VA,IRS,202,8641169,Phone,9043
53300514,05/02/2014,Raymond,IA,IRS,,,Phone Call: Landline,9043
53300548,05/02/2014,,,person said they were from IRS,202,2410697,Phone Call: Landline,9043
53300566,05/02/2014,Burlington,VT,IRS,202,8641169,Phone,9043
53300591,05/02/2014,Duluth,MN,Internal Revenue Service,571,3082451,Phone Call: Landline,9043
53300689,05/02/2014,,,IRS,,,Phone Call: Landline,9043
53300723,05/02/2014,Lawrenceville,GA,IRS tax phone scam,,,Phone Call: Landline,9043
53300762,05/02/2014,Meridian,ID,IRS,202,5068934,Phone Call: Landline,9043
53300763,05/02/2014,Salinas,CA,IRS,202,8641169,Phone Call: Landline,9043
53300766,05/02/2014,Pittsburgh,PA,IRS,716,2612184,Phone Call: Landline,9043
53300769,05/02/2014,Hololulu,HI,IRS,585,6331792,Phone Call: Landline,9043
53300774,05/02/2014,San Antonio,TX,IRS,877,7054245,Phone,9043
53300778,05/02/2014,Pinckney,MI,IRS,202,5069319,Phone Call: Mobile/Cell,9043
53300799,05/02/2014,Sacramento,CA,IRS,877,7054245,Phone,9043
53300816,05/02/2014,LaPorte,IN,IRS,585,3181105,Phone Call: Landline,9043
53300858,05/02/2014,Meridian,ID,IRS,202,8641182,Phone Call: Landline,9043
53300883,05/02/2014,Wahiawa,HI,IRS,202,4704831,Phone Call: Landline,9043
53300899,05/02/2014,Ocoee,FL,IRS,202,4705482,Phone Call: Landline,9043
53300903,05/02/2014,Westboro,MA,IRS,206,4368456,Phone Call: Landline,9043
53300909,05/02/2014,Northridge,CA,"""IRS Telephone Scam",585,6331792,Phone Call: Mobile/Cell,9043
53300921,05/02/2014,Las Vegas|Las Vegas,NV|,IRS,716,2612184,Phone,9043
53300931,05/02/2014,,DC,IRS,202,2414886,Phone Call: Landline,9043
53300940,05/02/2014,Chicago|,IL|,IRS,202,2412073,Phone Call: Landline,9043
53300943,05/02/2014,,CA,IRS telephone scam,703,8318279,Phone Call: Landline,9043
53300948,05/02/2014,Long Beach,CA,IRS,,,Phone,9043
53301041,05/02/2014,Garden City,MI,IRS,,,Internet/E-mail,9043
53301044,05/02/2014,,,"""Investigations Department of the IRS""",415,2519150,,9043
53301110,05/02/2014,POTTSTOWN,PA,IRS,585,6331792,Phone Call: Landline,9043
53301123,05/02/2014,Morgan Hill,CA,IRS,877,7054245,Phone Call: Landline,9043
